frame.number,frame.time,frame.time_relative,frame.time_delta,ip.src,ip.dst,ip.proto,frame.len,frame.protocols,data.len
"67","May 24, 2022 22:40:30.422621800 PDT","0.103329100","0.003781200","142.250.72.238","172.17.0.2","17","134","eth:ethertype:ip:udp:data","92"
"68","May 24, 2022 22:40:30.422808600 PDT","0.103515900","0.000186800","172.17.0.2","142.250.72.238","17","78","eth:ethertype:ip:udp:data","36"
"69","May 24, 2022 22:40:30.422966800 PDT","0.103674100","0.000158200","142.250.72.238","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26"
"70","May 24, 2022 22:40:30.424919000 PDT","0.105626300","0.001952200","142.250.72.227","172.17.0.2","17","1207","eth:ethertype:ip:udp:data","1165"
"71","May 24, 2022 22:40:30.425043700 PDT","0.105751000","0.000124700","172.17.0.2","142.250.72.227","17","75","eth:ethertype:ip:udp:data","33"
"72","May 24, 2022 22:40:30.428265000 PDT","0.108972300","0.003221300","172.17.0.2","142.250.72.238","17","75","eth:ethertype:ip:udp:data","33"
"73","May 24, 2022 22:40:30.438709400 PDT","0.119416700","0.010444400","172.17.0.2","172.217.14.86","17","75","eth:ethertype:ip:udp:data","33"
"74","May 24, 2022 22:40:30.440288000 PDT","0.120995300","0.001578600","142.250.72.238","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26"
"75","May 24, 2022 22:40:30.451037000 PDT","0.131744300","0.010749000","142.251.40.33","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"76","May 24, 2022 22:40:30.451038100 PDT","0.131745400","0.000001100","142.251.40.33","172.17.0.2","17","641","eth:ethertype:ip:udp:data","599"
"77","May 24, 2022 22:40:30.451088100 PDT","0.131795400","0.000050000","142.250.72.238","172.17.0.2","17","68","eth:ethertype:ip:udp:data","26"
"78","May 24, 2022 22:40:30.451725300 PDT","0.132432600","0.000637200","172.17.0.2","142.251.40.33","17","205","eth:ethertype:ip:udp:data","163"
"79","May 24, 2022 22:40:30.451883000 PDT","0.132590300","0.000157700","172.17.0.2","142.251.40.33","17","462","eth:ethertype:ip:udp:data","420"
"80","May 24, 2022 22:40:30.461512900 PDT","0.142220200","0.009629900","142.251.40.33","172.17.0.2","17","71","eth:ethertype:ip:udp:data","29"
"81","May 24, 2022 22:40:30.461668400 PDT","0.142375700","0.000155500","172.17.0.2","142.251.40.33","17","75","eth:ethertype:ip:udp:data","33"
"82","May 24, 2022 22:40:30.461874800 PDT","0.142582100","0.000206400","142.251.40.33","172.17.0.2","17","328","eth:ethertype:ip:udp:data","286"
"83","May 24, 2022 22:40:30.462045300 PDT","0.142752600","0.000170500","172.17.0.2","142.251.40.33","17","79","eth:ethertype:ip:udp:data","37"
"84","May 24, 2022 22:40:30.465946300 PDT","0.146653600","0.003901000","172.17.0.2","142.251.40.33","17","116","eth:ethertype:ip:udp:data","74"
"85","May 24, 2022 22:40:30.487093700 PDT","0.167801000","0.021147400","142.251.40.33","172.17.0.2","17","665","eth:ethertype:ip:udp:data","623"
"86","May 24, 2022 22:40:30.487594600 PDT","0.168301900","0.000500900","172.217.14.86","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25"
"87","May 24, 2022 22:40:30.487595300 PDT","0.168302600","0.000000700","142.251.40.33","172.17.0.2","17","135","eth:ethertype:ip:udp:data","93"
"88","May 24, 2022 22:40:30.487615300 PDT","0.168322600","0.000020000","142.251.40.33","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25"
"89","May 24, 2022 22:40:30.487616200 PDT","0.168323500","0.000000900","142.251.40.33","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25"
"90","May 24, 2022 22:40:30.487770800 PDT","0.168478100","0.000154600","172.17.0.2","142.251.40.33","17","75","eth:ethertype:ip:udp:data","33"
"91","May 24, 2022 22:40:30.489465700 PDT","0.170173000","0.001694900","142.251.40.33","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246"
"92","May 24, 2022 22:40:30.489466600 PDT","0.170173900","0.000000900","142.251.40.33","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"93","May 24, 2022 22:40:30.489645700 PDT","0.170353000","0.000179100","172.17.0.2","142.251.40.33","17","77","eth:ethertype:ip:udp:data","35"
"94","May 24, 2022 22:40:30.491598300 PDT","0.172305600","0.001952600","142.251.40.33","172.17.0.2","17","67","eth:ethertype:ip:udp:data","25"
"95","May 24, 2022 22:40:30.491623300 PDT","0.172330600","0.000025000","172.217.14.86","172.17.0.2","17","720","eth:ethertype:ip:udp:data","678"
"96","May 24, 2022 22:40:30.491706100 PDT","0.172413400","0.000082800","172.17.0.2","142.251.40.33","17","75","eth:ethertype:ip:udp:data","33"
"97","May 24, 2022 22:40:30.491764500 PDT","0.172471800","0.000058400","172.17.0.2","172.217.14.86","17","75","eth:ethertype:ip:udp:data","33"
"98","May 24, 2022 22:40:30.515674000 PDT","0.196381300","0.023909500","172.217.14.86","172.17.0.2","17","1288","eth:ethertype:ip:udp:data","1246"
"99","May 24, 2022 22:40:30.515861100 PDT","0.196568400","0.000187100","172.217.14.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"100","May 24, 2022 22:40:30.515862000 PDT","0.196569300","0.000000900","172.217.14.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"101","May 24, 2022 22:40:30.515907500 PDT","0.196614800","0.000045500","172.17.0.2","172.217.14.86","17","79","eth:ethertype:ip:udp:data","37"
"102","May 24, 2022 22:40:30.515961200 PDT","0.196668500","0.000053700","172.17.0.2","172.217.14.86","17","75","eth:ethertype:ip:udp:data","33"
"103","May 24, 2022 22:40:30.515987300 PDT","0.196694600","0.000026100","172.17.0.2","172.217.14.86","17","75","eth:ethertype:ip:udp:data","33"
"104","May 24, 2022 22:40:30.519656800 PDT","0.200364100","0.003669500","172.217.14.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"105","May 24, 2022 22:40:30.519657700 PDT","0.200365000","0.000000900","172.217.14.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"106","May 24, 2022 22:40:30.519768200 PDT","0.200475500","0.000110500","172.17.0.2","172.217.14.86","17","75","eth:ethertype:ip:udp:data","33"
"107","May 24, 2022 22:40:30.520358000 PDT","0.201065300","0.000589800","172.217.14.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
"108","May 24, 2022 22:40:30.520358900 PDT","0.201066200","0.000000900","172.217.14.86","172.17.0.2","17","1292","eth:ethertype:ip:udp:data","1250"
